personId|month
4398046536251|4
26388279087663|3
6597069777539|3
10995116291769|11
6597069773153|3
10995116302164|7
8796093024611|6
30786325593220|4
21613|5
26388279092172|1
17592186069112|3
10995116278566|8
21990232579350|10
32985348843180|3
15393162791751|3
4398046520482|11
6597069767904|2
15393162803134|10
15393162804949|11
21990232569512|2
10995116290806|10
13194139548033|2
8796093036914|1
19791209314261|4
24189255814606|5
30786325595408|8
6597069779508|6
4398046520863|10
32985348842532|8
24189255813822|2
8796093046721|3
21990232556997|9
2199023262943|2
10995116288321|12
24189255822131|10
15393162798620|3
13194139541026|4
15393162800221|4
4398046531673|6
26388279075953|3
32985348844975|1
26388279082734|4
21990232571184|3
17592186057520|5
28587302343363|6
4398046511154|11
24189255824060|8
6597069789937|8
30786325592200|11
32985348845772|5
24189255814717|6
26388279068620|3
30786325590569|10
2199023259820|11
17592186066260|11
21990232579121|8
13194139539163|2
13194139537576|1
10995116280828|10
15393162795080|11
32985348840537|7
6597069779073|12
26388279082593|12
21990232574469|10
10995116293146|5
17102|6
4398046528969|5
26388279070267|5
19791209309789|6
21990232558064|1
19791209310900|2
6597069769378|3
32985348846936|7
24189255836165|11
13194139541107|9
15393162804655|2
28587302340999|6
28587302334822|8
32985348846725|2
28587302330275|1
28587302332608|8
10995116304257|3
30786325592609|8
4398046535030|3
15393162789850|11
6597069774276|4
10995116299408|6
4398046528673|7
24189255836205|11
32985348841971|11
17592186055764|11
21990232563014|9
10730|1
13194139554686|3
10995116296877|7
2199023273332|12
17592186070515|9
21990232573783|3
19791209307478|5
21990232561061|12
4398046516004|7
17592186064521|11
30786325597274|11
26388279092477|10
4398046513331|8
26388279091881|8
26388279079756|5
4398046522289|2
28587302328403|12
13194139543009|1
10995116290645|4
24189255813058|8
13194139535995|12
4398046527568|3
6597069782369|3
32985348851918|11
17592186058220|4
24189255813086|5
21990232571014|5
30786325584507|1
21990232573673|12
2199023258445|9
26388279091879|1
30786325590935|2
10995116292442|2
26388279087360|5
28587302323213|11
8796093047292|2
16470|3
2199023273059|4
17592186069619|7
32985348856546|11
26388279072439|7
32985348844825|11
21990232562956|7
4398046517651|6
13194139554009|11
26388279089559|7
17592186047812|6
15393162807099|7
24189255827189|5
26388279071143|6
35184372112768|1
15393162792473|3
30786325585328|10
26388279081319|2
6597069785897|3
6597069768240|2
21990232561023|5
17592186071407|1
15393162805595|5
2199023256459|8
21990232560651|9
17592186059302|11
10995116284008|2
15393162800183|8
8796093025306|3
19791209308933|5
21990232565617|7
30786325599649|11
24189255829856|9
26388279089908|12
32985348841232|1
6597069773790|4
4398046511426|6
21576|1
21990232577165|1
21990232579339|5
5552|7
8796093038712|2
13194139555172|1
8796093048156|4
28587302334563|9
28587302339900|7
17592186054084|12
2199023272265|8
13194139540734|11
24189255828744|7
6597069774941|6
4398046512662|5
30786325578316|1
4398046533267|1
17592186063025|8
28587302333457|11
30786325603543|1
10995116279564|3
4398046528177|4
4398046530202|4
21990232581065|11
28587302345744|4
28587302324346|4
6597069791335|6
28587302328699|12
6597069786375|4
14520|8
6597069784170|1
23391|6
24189255821747|12
28587302332309|3
17592186064760|5
8796093047956|8
10995116293522|7
13194139538623|7
26388279070023|8
32985348847475|9
17592186059115|4
32985348857076|5
6597069790133|5
4398046511467|7
15393162796633|7
4398046519022|11
26388279079203|5
24189255837301|6
21990232570930|10
17592186049669|12
28587302327413|3
19791209323216|9
19791209309370|3
6597069781547|9
13194139560060|1
10995116281682|7
13194139538191|7
17592186058616|9
10995116284775|12
32985348843072|10
26388279073429|7
30786325587216|6
13194139557813|1
24189255824201|7
13194139546469|7
30786325600179|9
19791209309419|2
26388279080913|8
15393162797730|1
4398046516155|9
21990232574944|10
26388279080306|6
17592186053118|9
15393162808330|8
26388279071726|4
32985348854785|2
2199023256403|10
8796093033673|5
