person1Id|person2Id
26388279078570|32985348836120
6597069768287|21990232569259
6597069774458|12237
30786325599846|10995116279792
1922|8796093038694
17592186064559|30786325595571
28587302345096|13194139539046
13194139556587|6597069769535
26388279075803|30786325587134
26388279091023|8796093027436
35184372109750|10995116278796
21990232577918|6597069787895
10995116278300|30786325599846
28587302325706|21990232577216
19791209307885|19791209315015
19791209322433|2199023266586
13194139551514|10995116285880
30786325593854|26388279091023
4398046511322|17592186060822
10995116279792|28587302348158
15393162791846|17592186070593
26388279075700|17592186065226
19791209315015|19791209300474
4290|17592186060822
24189255837157|6597069768429
26388279077215|24189255837157
10995116304159|4398046528864
2199023266586|32985348836120
17592186065226|17592186055503
24189255816000|26388279082038
10289|28587302348904
6597069767668|32985348845623
6597069786834|2199023273674
8037|24189255837157
10995116291176|15393162789699
24189255829314|26388279091023
8796093029253|6597069774458
6597069777292|2199023279096
21990232572466|28587302348904
17592186066260|10995116296622
19791209300474|3779
24189255818646|19791209300147
30786325596186|19791209322433
13194139542945|4398046528864
8796093046786|17592186055503
5262|17592186055503
21990232579121|2199023266586
30786325590349|2199023266354
28587302331715|32985348857815
10995116290968|2199023279096
17592186070253|4398046522216
26388279071426|21990232569939
2199023266354|21990232568688
13194139543496|2199023272409
12237|4398046522216
2199023259439|32985348850426
4398046515961|19791209304877
30786325580641|10995116279792
17592186060822|17592186063553
19791209304877|2199023279096
13194139539163|4398046512733
32985348845623|15393162789699
2199023272409|21990232574469
2199023275716|21990232562238
8796093038694|30786325590260
32985348834768|32985348850426
24189255835333|15393162796638
8796093027436|19791209300147
17592186063553|26388279069650
30786325599201|4398046537856
32985348859377|32985348837401
28587302348904|15393162801883
17296|30786325586706
32985348837401|4398046516443
32985348850426|10995116296622
13194139553267|19791209304877
19791209300147|1922
17592186058008|19791209304877
13194139537576|30786325593854
15393162796638|28587302325949
21990232562332|30786325593854
15393162801883|4398046511322
32985348849764|4398046514218
17592186062860|32985348859377
24189255836942|4398046533347
10995116280828|30786325580467
4398046513254|4398046535916
26388279075797|6597069777292
17592186058106|26388279082593
24189255827419|28587302334559
15393162797091|4398046511322
32985348836120|26388279072217
15393162793684|30786325596186
28587302338726|13818
30786325590260|32985348856917
13194139535896|2199023276756
28587302332930|17592186058008
6597069770100|26388279077215
30786325590365|13194139554398
4398046527453|28587302346210
21990232576042|28587302348904
13194139556499|4398046537856
17592186070593|10995116291176
1160|4398046528864
15393162795080|13194139556587
15393162810137|19791209300147
21990232561432|4398046525098
28587302344309|8796093042445
4398046512733|26388279082038
3779|28587302333854
26388279075089|4398046535246
30786325587134|21990232569939
19791209320038|13194139542945
32985348840537|15393162810137
24189255819887|21990232572466
2199023273674|20593
6597069779073|21990232577216
17619|32985348845623
13194139553338|19791209322433
30786325580467|4398046533991
17592186049274|4398046516569
26388279082593|28587302325949
8796093046634|4398046522216
24189255836478|26388279074355
13194139554398|26388279075089
32985348846571|28587302332930
26388279091992|32985348849764
6597069780112|2199023272409
19791209314797|17592186064559
2199023259690|2199023266357
2199023263769|13194139556499
4398046522216|21990232569259
30786325586706|19791209322433
28587302325949|4398046513254
6597069770949|8037
24189255823246|10289
2199023269371|2199023272409
13194139539046|6597069787895
21990232569259|28587302332930
26388279082693|6597069770100
4398046516443|10995116283613
12665|4398046515961
28587302345344|6597069768287
28587302332037|19791209314797
10995116296622|26388279082593
21787|2199023266357
16328|21990232561432
2199023260548|28587302332603
10995116283613|10995116280604
15393162800697|30786325580641
32985348857815|17592186049274
4398046518073|6597069779073
21990232565814|12237
19791209316412|21990232576042
4398046514218|2199023269371
17592186062067|26388279082038
21990232574469|28587302346210
2199023266357|24189255835333
15393162789699|2199023266357
26388279078780|21990232577918
21990232568688|30786325593854
10995116293146|13194139554398
21990232577216|4398046536701
28587302324330|21990232572466
26388279070049|24189255821919
21990232567789|19791209320720
28587302332603|13194139553267
21990232569939|13194139558150
13194139558150|26388279074355
17592186059251|15393162797091
13194139535014|30786325581911
17592186048450|10995116296622
6597069779097|10995116297442
20593|4398046537856
26388279067442|26388279089727
21990232564481|21990232569259
8796093040649|30786325596186
10995116280604|13194139539163
