personId|tagClassName
10995116288038|MartialArtist
21990232557970|SportsTeamMember
30786325586916|Congressman
17592186049871|MemberOfParliament
6597069770782|SnookerChamp
10995116293836|SnookerChamp
17592186047899|SnookerChamp
6597069771849|MartialArtist
21990232577514|SportsTeamMember
24189255836057|MartialArtist
4398046521376|MartialArtist
19791209308865|MartialArtist
28587302330379|MartialArtist
10995116302815|MemberOfParliament
19791209308983|MemberOfParliament
21990232582274|MemberOfParliament
26388279068235|SportsTeamMember
21990232562449|MartialArtist
13194139543496|SnookerChamp
26388279089102|SnookerChamp
15393162814794|SnookerChamp
19791209300572|MartialArtist
19791209318792|SportsTeamMember
2199023276720|MemberOfParliament
2199023280351|MemberOfParliament
6597069793603|SnookerChamp
4398046513283|Congressman
10995116281195|SportsTeamMember
21990232574703|MartialArtist
6597069779911|SnookerChamp
6597069770517|SnookerChamp
8796093031741|SnookerChamp
6597069767729|MemberOfParliament
26388279072834|SportsTeamMember
6597069790331|SportsTeamMember
15393162815004|MemberOfParliament
4398046512636|SnookerChamp
30786325595461|SnookerChamp
10995116298024|MartialArtist
13194139558262|Congressman
4398046535367|Congressman
28587302346306|Congressman
24189255811746|MemberOfParliament
3558|SnookerChamp
6597069768560|MemberOfParliament
15393162798830|MemberOfParliament
19791209324307|MemberOfParliament
30786325596473|MemberOfParliament
6597069791811|Congressman
13194139535014|SportsTeamMember
6597069788682|MemberOfParliament
30786325584236|MartialArtist
2199023272256|MemberOfParliament
4398046535362|SportsTeamMember
28587302342697|Congressman
6597069773842|MemberOfParliament
28587302341369|Congressman
6597069784281|SnookerChamp
10995116285640|SportsTeamMember
32985348857454|MartialArtist
3994|SnookerChamp
13194139555542|SportsTeamMember
19791209315846|SportsTeamMember
15393162805569|Congressman
30786325597490|Congressman
32985348833505|SnookerChamp
19791209320070|MemberOfParliament
10995116292375|SportsTeamMember
19791209310731|Congressman
2199023264203|Congressman
28587302338287|Congressman
17592186057457|Congressman
26388279081301|MartialArtist
32985348846571|SportsTeamMember
2199023266634|SportsTeamMember
25763|SportsTeamMember
30786325591965|SnookerChamp
17592186067958|SportsTeamMember
28587302334840|MartialArtist
15393162808296|Congressman
17592186061343|SnookerChamp
8796093043338|MemberOfParliament
17592186057969|MemberOfParliament
10995116291176|MemberOfParliament
32985348837338|SportsTeamMember
13194139543588|MartialArtist
15393162794654|SportsTeamMember
32985348839443|SportsTeamMember
10995116279437|SportsTeamMember
24189255831239|Congressman
17592186068588|MartialArtist
21990232562116|MartialArtist
30786325602275|SportsTeamMember
32985348834796|MartialArtist
30786325578441|SnookerChamp
15250|Congressman
2199023273327|MartialArtist
6597069788475|Congressman
32985348849413|SnookerChamp
10995116278627|Congressman
19791209311641|Congressman
30786325602652|SportsTeamMember
4398046538007|MartialArtist
19791209310754|MemberOfParliament
17592186063555|MartialArtist
24189255834434|MemberOfParliament
13194139536815|MartialArtist
8796093042153|MemberOfParliament
26388279067618|SportsTeamMember
24189255827876|MemberOfParliament
28587302347301|Congressman
6597069768981|MartialArtist
21990232570236|Congressman
20056|MartialArtist
8796093024572|SportsTeamMember
32985348853974|SportsTeamMember
19791209325795|SportsTeamMember
6597069792657|MemberOfParliament
24189255828032|SnookerChamp
15393162795534|SportsTeamMember
6597069771931|SnookerChamp
13194139544341|SportsTeamMember
21990232564360|MemberOfParliament
21990232570716|SportsTeamMember
4398046514676|Congressman
6597069792594|MartialArtist
26388279072017|SnookerChamp
2199023261211|SportsTeamMember
28587302333619|Congressman
4398046524666|SportsTeamMember
8796093028263|SnookerChamp
4398046520919|Congressman
8796093025804|MemberOfParliament
30786325603087|MemberOfParliament
2199023275474|SportsTeamMember
30786325599794|MartialArtist
17592186060215|SnookerChamp
21990232569259|SportsTeamMember
15393162792633|SnookerChamp
16845|SnookerChamp
26388279081205|MemberOfParliament
6597069786337|MartialArtist
15393162790403|SnookerChamp
23887|MemberOfParliament
4231|SportsTeamMember
10995116304142|SportsTeamMember
8796093043917|Congressman
2199023282248|MartialArtist
6597069783153|SnookerChamp
15393162801100|MemberOfParliament
15393162797538|SnookerChamp
6597069779951|SportsTeamMember
2199023255660|SnookerChamp
13194139540571|MartialArtist
21990232574414|MemberOfParliament
10995116279673|SportsTeamMember
30786325593491|MartialArtist
17592186070608|MartialArtist
19791209323676|SportsTeamMember
28587302322597|MemberOfParliament
32985348844886|SportsTeamMember
28587302330869|Congressman
28587302347061|MemberOfParliament
32985348834625|SportsTeamMember
8796093033913|MemberOfParliament
32985348852644|MemberOfParliament
28587302327767|SnookerChamp
10995116283662|Congressman
8796093040670|SnookerChamp
2199023261420|SnookerChamp
16328|MemberOfParliament
13194139555715|Congressman
21990232562519|SportsTeamMember
13194139538958|MartialArtist
35184372096782|SnookerChamp
19791209322349|MartialArtist
28587302335050|Congressman
17592186056456|Congressman
4398046516316|MartialArtist
4398046519365|SportsTeamMember
26388279069095|SnookerChamp
6013|Congressman
4296|SnookerChamp
4398046511322|SnookerChamp
30786325579989|MartialArtist
21990232568952|MemberOfParliament
13194139534915|MartialArtist
26388279078872|Congressman
8796093025734|Congressman
2199023258871|SnookerChamp
10995116282664|Congressman
4398046513541|MartialArtist
21990232576384|Congressman
26388279078780|Congressman
30786325603010|MartialArtist
21990232567164|SportsTeamMember
2199023275716|SnookerChamp
32985348858827|SnookerChamp
788|MemberOfParliament
15393162800137|MartialArtist
6597069773103|SnookerChamp
10995116291408|Congressman
9162|SnookerChamp
19791209308671|MartialArtist
30786325598569|MartialArtist
28587302329499|SnookerChamp
21990232575515|SportsTeamMember
28587302332391|MartialArtist
21990232555958|Congressman
10995116285081|SnookerChamp
4398046537278|SnookerChamp
24189255816768|SportsTeamMember
8796093039571|SnookerChamp
26388279081027|MemberOfParliament
21990232578084|SnookerChamp
3722|MemberOfParliament
30786325586902|SportsTeamMember
26388279086220|SnookerChamp
30786325591815|Congressman
28587302322515|SnookerChamp
21990232562820|Congressman
6597069767226|SnookerChamp
4398046531017|Congressman
13194139550219|Congressman
28587302345416|Congressman
6597069786834|SportsTeamMember
4398046530911|MartialArtist
19791209309658|Congressman
2199023256452|SnookerChamp
17592186044568|SportsTeamMember
17411|SnookerChamp
22656|MemberOfParliament
26388279089775|MemberOfParliament
2199023260618|Congressman
2199023271769|SnookerChamp
4398046523068|MemberOfParliament
19791209307259|Congressman
26388279067897|MartialArtist
14562|Congressman
21990232572554|MartialArtist
4234|SnookerChamp
21990232569770|SportsTeamMember
2199023257284|SportsTeamMember
