personId|countryName|workFromYear
4398046536251|Honduras|2007
26388279087663|Papua_New_Guinea|2008
6597069777539|Estonia|2007
10995116291769|Singapore|2006
6597069773153|Bolivia|2008
10995116302164|Mauritius|2012
8796093024611|Malta|2005
30786325593220|New_Zealand|2006
21613|Mauritania|2011
26388279092172|Dominican_Republic|1998
17592186069112|Switzerland|2000
10995116278566|Switzerland|2003
21990232579350|Dominican_Republic|2001
32985348843180|Dominican_Republic|2013
15393162791751|Honduras|2000
4398046520482|Papua_New_Guinea|1999
6597069767904|Mauritania|2003
15393162803134|Mauritius|2006
15393162804949|Bolivia|2011
21990232569512|Switzerland|2014
10995116290806|Honduras|2012
13194139548033|Mauritius|2008
8796093036914|Bolivia|1998
19791209314261|Papua_New_Guinea|1999
24189255814606|Bolivia|2008
30786325595408|New_Zealand|2011
6597069779508|Dominican_Republic|2002
4398046520863|Honduras|2014
32985348842532|Mauritius|2007
24189255813822|Honduras|2007
8796093046721|Mauritania|2008
2199023262943|Honduras|1999
21990232556997|Honduras|2000
10995116288321|Bolivia|2013
24189255822131|Mauritania|2002
15393162798620|Singapore|1999
13194139541026|Papua_New_Guinea|2002
15393162800221|Mauritania|2010
4398046531673|Mauritania|2002
26388279075953|Dominican_Republic|2001
32985348844975|Singapore|2002
26388279082734|Bolivia|2006
21990232571184|Estonia|2010
17592186057520|Malta|2003
28587302343363|Singapore|2012
4398046511154|Singapore|2014
24189255824060|Mauritania|2011
6597069789937|Switzerland|1999
30786325592200|Malta|2003
32985348845772|Papua_New_Guinea|2013
24189255814717|New_Zealand|2012
26388279068620|Bolivia|2000
30786325590569|Switzerland|2005
2199023259820|New_Zealand|2004
17592186066260|Dominican_Republic|2010
21990232579121|New_Zealand|1998
13194139539163|Mauritius|2003
13194139537576|Dominican_Republic|2010
10995116280828|Dominican_Republic|2013
15393162795080|Singapore|1998
32985348840537|Papua_New_Guinea|2008
6597069779073|Bolivia|2009
26388279082593|Mauritius|2012
21990232574469|Papua_New_Guinea|2005
10995116293146|Singapore|2014
17102|Malta|2001
4398046528969|Honduras|1999
26388279070267|Mauritania|2000
19791209309789|New_Zealand|2007
21990232558064|Singapore|2000
19791209310900|Singapore|2002
6597069769378|Singapore|2001
32985348846936|Singapore|1998
24189255836165|Mauritania|2014
13194139541107|Mauritius|2003
15393162804655|Mauritius|2014
28587302340999|Papua_New_Guinea|2010
28587302334822|Switzerland|2001
32985348846725|Singapore|2013
28587302330275|Singapore|1998
28587302332608|Honduras|2014
10995116304257|Switzerland|1998
30786325592609|Mauritius|2002
4398046535030|Switzerland|2007
15393162789850|Switzerland|1998
6597069774276|Switzerland|2011
10995116299408|Mauritania|1999
4398046528673|Switzerland|2011
24189255836205|Switzerland|1998
32985348841971|Mauritania|2006
17592186055764|Papua_New_Guinea|2001
21990232563014|Mauritius|2002
10730|Malta|2006
13194139554686|Switzerland|2004
10995116296877|Mauritania|2004
2199023273332|New_Zealand|2009
17592186070515|Mauritania|2001
21990232573783|Singapore|2001
19791209307478|Switzerland|2009
21990232561061|New_Zealand|2003
4398046516004|Bolivia|2013
17592186064521|Mauritius|2005
30786325597274|Switzerland|2006
26388279092477|Mauritius|1998
4398046513331|Papua_New_Guinea|1998
26388279091881|Papua_New_Guinea|1999
26388279079756|New_Zealand|2008
4398046522289|Malta|2009
28587302328403|Dominican_Republic|2014
13194139543009|Estonia|2005
10995116290645|Bolivia|2010
24189255813058|Mauritania|2003
13194139535995|Honduras|1999
4398046527568|Papua_New_Guinea|2005
6597069782369|Malta|2009
32985348851918|Estonia|2011
17592186058220|Papua_New_Guinea|2014
24189255813086|Estonia|2012
21990232571014|Malta|2007
30786325584507|Mauritius|2007
21990232573673|Honduras|2006
2199023258445|Honduras|2006
26388279091879|Dominican_Republic|2009
30786325590935|New_Zealand|2007
10995116292442|Papua_New_Guinea|2012
26388279087360|Dominican_Republic|2005
28587302323213|Honduras|2006
8796093047292|Bolivia|2012
16470|Dominican_Republic|2009
2199023273059|New_Zealand|2006
17592186069619|Singapore|2007
32985348856546|Dominican_Republic|2011
26388279072439|Malta|2008
32985348844825|Dominican_Republic|2002
21990232562956|Dominican_Republic|2003
4398046517651|Bolivia|2008
13194139554009|New_Zealand|1998
26388279089559|Mauritius|2005
17592186047812|Switzerland|2013
15393162807099|Mauritania|2001
24189255827189|New_Zealand|2005
26388279071143|Mauritania|2009
35184372112768|Switzerland|2013
15393162792473|Estonia|2009
30786325585328|Estonia|2008
26388279081319|Mauritania|2004
6597069785897|Mauritania|2005
6597069768240|Mauritius|2008
21990232561023|Mauritius|2004
17592186071407|Bolivia|2011
15393162805595|Dominican_Republic|1998
2199023256459|Mauritania|2010
21990232560651|Malta|2010
17592186059302|Honduras|2003
10995116284008|Dominican_Republic|1998
8796093025306|Mauritius|2003
15393162800183|Estonia|2008
19791209308933|Singapore|2011
21990232565617|New_Zealand|2012
30786325599649|Honduras|2001
24189255829856|Papua_New_Guinea|1999
26388279089908|Singapore|2000
32985348841232|Dominican_Republic|2014
6597069773790|Mauritania|2008
4398046511426|Switzerland|2000
21576|Mauritius|2009
21990232577165|Malta|2014
21990232579339|Malta|2008
5552|Mauritius|2001
8796093038712|Mauritius|2014
13194139555172|Dominican_Republic|2009
8796093048156|Switzerland|2001
28587302334563|Bolivia|2011
28587302339900|Malta|2006
17592186054084|Singapore|2007
2199023272265|Singapore|2004
13194139540734|Mauritius|2002
24189255828744|Malta|2005
6597069774941|Malta|2006
4398046512662|Switzerland|2005
30786325578316|Papua_New_Guinea|2012
4398046533267|New_Zealand|1999
17592186063025|Switzerland|2001
28587302333457|Mauritania|2013
30786325603543|Malta|2008
10995116279564|Bolivia|2008
4398046528177|Bolivia|2008
4398046530202|Switzerland|2002
21990232581065|Dominican_Republic|2004
28587302345744|New_Zealand|2001
28587302324346|Dominican_Republic|2000
6597069791335|Switzerland|2014
28587302328699|Dominican_Republic|2010
6597069786375|Bolivia|2012
14520|Mauritius|1998
6597069784170|Mauritania|2009
23391|Bolivia|2003
24189255821747|Mauritania|2006
28587302332309|Mauritius|2009
17592186064760|Singapore|1998
8796093047956|Mauritius|2004
10995116293522|Papua_New_Guinea|2007
13194139538623|Singapore|2012
26388279070023|Bolivia|2006
32985348847475|Honduras|2003
17592186059115|Papua_New_Guinea|2008
32985348857076|Estonia|2007
6597069790133|Dominican_Republic|2002
4398046511467|Malta|2007
15393162796633|Singapore|2002
4398046519022|Switzerland|1998
26388279079203|Estonia|2003
24189255837301|Mauritius|1999
21990232570930|Mauritania|2006
17592186049669|New_Zealand|2006
28587302327413|Bolivia|2012
19791209323216|Mauritania|2010
19791209309370|Mauritius|2010
6597069781547|New_Zealand|2014
13194139560060|Mauritius|2002
10995116281682|Switzerland|2004
13194139538191|New_Zealand|2001
17592186058616|Papua_New_Guinea|1999
10995116284775|Papua_New_Guinea|2006
32985348843072|Switzerland|2006
26388279073429|Estonia|2000
30786325587216|Honduras|2013
13194139557813|Estonia|2014
24189255824201|Mauritius|1999
13194139546469|Switzerland|1998
30786325600179|Bolivia|1999
19791209309419|New_Zealand|2010
26388279080913|Dominican_Republic|2012
15393162797730|Honduras|1999
4398046516155|Malta|1998
21990232574944|Switzerland|2007
26388279080306|Malta|2003
17592186053118|Mauritius|1998
15393162808330|Singapore|1998
26388279071726|Switzerland|2001
32985348854785|Switzerland|2001
2199023256403|Papua_New_Guinea|2003
8796093033673|Malta|2007
