personId|startDate|durationDays|countryXName|countryYName
26388279078570|1304208000000|29|Honduras|Estonia
6597069774458|1306886400000|30|Papua_New_Guinea|Malta
6597069768287|1296518400000|30|Estonia|Singapore
30786325599846|1304208000000|31|Singapore|New_Zealand
1922|1298937600000|30|Bolivia|Papua_New_Guinea
17592186064559|1306886400000|29|Mauritius|Mauritania
13194139556587|1304208000000|37|Malta|Singapore
28587302345096|1304208000000|29|New_Zealand|Dominican_Republic
26388279091023|1304208000000|31|Mauritania|Singapore
26388279075803|1298937600000|30|Dominican_Republic|Singapore
35184372109750|1304208000000|33|Switzerland|New_Zealand
21990232577918|1304208000000|30|Mauritania|Switzerland
28587302325706|1304208000000|31|Papua_New_Guinea|Mauritania
19791209307885|1291161600000|33|Mauritania|Dominican_Republic
10995116278300|1304208000000|29|Mauritius|Switzerland
19791209322433|1306886400000|29|Switzerland|Singapore
13194139551514|1304208000000|33|Mauritania|Honduras
30786325593854|1298937600000|36|Switzerland|Honduras
26388279075700|1298937600000|28|Papua_New_Guinea|Switzerland
19791209315015|1304208000000|29|Mauritius|New_Zealand
4398046511322|1304208000000|28|Malta|Singapore
15393162791846|1298937600000|31|Singapore|Malta
10995116279792|1306886400000|31|Mauritius|Estonia
4290|1304208000000|44|Singapore|Dominican_Republic
24189255837157|1298937600000|31|Mauritius|Switzerland
10995116304159|1298937600000|30|Honduras|Switzerland
26388279077215|1304208000000|32|Bolivia|Singapore
2199023266586|1306886400000|29|Bolivia|Malta
17592186065226|1304208000000|33|Singapore|Mauritania
24189255816000|1306886400000|32|Bolivia|Papua_New_Guinea
10289|1306886400000|31|Mauritania|Dominican_Republic
6597069767668|1306886400000|32|New_Zealand|Estonia
6597069786834|1304208000000|30|Mauritius|Estonia
24189255829314|1304208000000|37|New_Zealand|Honduras
10995116291176|1304208000000|33|Bolivia|Malta
8037|1296518400000|30|Estonia|New_Zealand
8796093029253|1304208000000|30|Honduras|New_Zealand
6597069777292|1296518400000|29|Singapore|Estonia
21990232572466|1304208000000|34|Malta|Mauritius
17592186066260|1304208000000|31|Dominican_Republic|Mauritania
19791209300474|1306886400000|35|Dominican_Republic|Honduras
24189255818646|1304208000000|32|Mauritius|Bolivia
30786325596186|1304208000000|32|Switzerland|Malta
13194139542945|1304208000000|28|Mauritius|Bolivia
8796093046786|1306886400000|28|Dominican_Republic|New_Zealand
5262|1298937600000|29|Bolivia|Switzerland
21990232579121|1298937600000|29|Mauritania|Switzerland
30786325590349|1298937600000|28|Switzerland|Mauritania
17592186070253|1291161600000|29|Singapore|Dominican_Republic
10995116290968|1306886400000|28|Papua_New_Guinea|Mauritania
28587302331715|1304208000000|31|Malta|New_Zealand
2199023266354|1298937600000|32|Mauritius|Honduras
26388279071426|1304208000000|28|Singapore|Dominican_Republic
13194139543496|1304208000000|29|Honduras|Bolivia
12237|1304208000000|30|Bolivia|Papua_New_Guinea
4398046515961|1304208000000|28|Bolivia|New_Zealand
2199023259439|1304208000000|31|Bolivia|Singapore
30786325580641|1298937600000|33|Dominican_Republic|Singapore
17592186060822|1304208000000|29|Malta|Estonia
2199023275716|1306886400000|28|Mauritania|Dominican_Republic
32985348845623|1306886400000|29|Dominican_Republic|New_Zealand
19791209304877|1298937600000|28|Mauritania|Dominican_Republic
2199023272409|1304208000000|30|Mauritius|Mauritania
13194139539163|1304208000000|32|Mauritania|Papua_New_Guinea
8796093038694|1304208000000|31|New_Zealand|Mauritania
32985348834768|1306886400000|28|New_Zealand|Mauritius
24189255835333|1304208000000|32|Malta|Dominican_Republic
17592186063553|1291161600000|31|Bolivia|New_Zealand
32985348859377|1304208000000|35|Malta|New_Zealand
28587302348904|1304208000000|33|Malta|New_Zealand
8796093027436|1298937600000|28|Switzerland|Singapore
30786325599201|1304208000000|31|Mauritania|Singapore
17296|1304208000000|34|Dominican_Republic|Mauritius
32985348837401|1298937600000|34|Mauritania|New_Zealand
13194139553267|1304208000000|32|Mauritania|Bolivia
32985348850426|1304208000000|33|Malta|Mauritius
19791209300147|1291161600000|35|Singapore|Mauritania
17592186058008|1306886400000|29|Estonia|Mauritius
13194139537576|1306886400000|31|New_Zealand|Switzerland
15393162796638|1306886400000|30|Dominican_Republic|Papua_New_Guinea
15393162801883|1304208000000|34|Mauritius|Bolivia
32985348849764|1306886400000|28|Papua_New_Guinea|Singapore
21990232562332|1296518400000|28|Dominican_Republic|Mauritania
24189255836942|1306886400000|28|Mauritius|New_Zealand
17592186062860|1304208000000|30|Mauritius|Honduras
10995116280828|1304208000000|30|Honduras|Papua_New_Guinea
4398046513254|1306886400000|36|Mauritius|Bolivia
24189255827419|1306886400000|32|Mauritania|Singapore
26388279075797|1306886400000|32|Bolivia|Malta
17592186058106|1291161600000|29|Singapore|Bolivia
15393162797091|1306886400000|28|New_Zealand|Dominican_Republic
32985348836120|1306886400000|34|Honduras|Mauritania
28587302338726|1306886400000|31|Mauritius|Dominican_Republic
15393162793684|1298937600000|29|Switzerland|Estonia
30786325590260|1296518400000|30|New_Zealand|Dominican_Republic
28587302332930|1304208000000|34|Bolivia|Mauritius
13194139535896|1304208000000|28|New_Zealand|Mauritius
4398046527453|1298937600000|30|Malta|New_Zealand
21990232576042|1298937600000|33|Estonia|Dominican_Republic
