personId|minDate
26388279078570|1346803200000
6597069774458|1346889600000
6597069768287|1344816000000
30786325599846|1346976000000
1922|1346716800000
17592186064559|1344902400000
13194139556587|1347840000000
28587302345096|1346716800000
26388279091023|1346889600000
26388279075803|1346716800000
35184372109750|1347494400000
21990232577918|1345420800000
28587302325706|1346976000000
19791209307885|1347235200000
10995116278300|1346630400000
19791209322433|1347062400000
13194139551514|1344038400000
30786325593854|1347840000000
26388279075700|1346803200000
19791209315015|1346803200000
4398046511322|1345852800000
15393162791846|1345075200000
10995116279792|1344729600000
4290|1348617600000
24189255837157|1345248000000
10995116304159|1347408000000
26388279077215|1344988800000
2199023266586|1345852800000
17592186065226|1343865600000
24189255816000|1347321600000
10289|1345248000000
6597069767668|1347062400000
6597069786834|1344988800000
24189255829314|1348099200000
8037|1347321600000
10995116291176|1347321600000
8796093029253|1346976000000
6597069777292|1346630400000
17592186066260|1344643200000
21990232572466|1344038400000
19791209300474|1348444800000
30786325596186|1345075200000
24189255818646|1344556800000
13194139542945|1345507200000
8796093046786|1346025600000
5262|1345852800000
21990232579121|1345507200000
30786325590349|1346544000000
17592186070253|1346630400000
10995116290968|1344816000000
28587302331715|1345161600000
26388279071426|1346025600000
2199023266354|1344902400000
13194139543496|1345420800000
12237|1346630400000
2199023259439|1345075200000
4398046515961|1345680000000
30786325580641|1344470400000
17592186060822|1346716800000
2199023275716|1345593600000
32985348845623|1346716800000
19791209304877|1346457600000
13194139539163|1344816000000
2199023272409|1344902400000
8796093038694|1345248000000
32985348834768|1345939200000
24189255835333|1347235200000
32985348859377|1347840000000
17592186063553|1346889600000
28587302348904|1347408000000
8796093027436|1345507200000
30786325599201|1345248000000
17296|1343260800000
32985348837401|1347580800000
13194139553267|1347321600000
32985348850426|1344729600000
19791209300147|1347667200000
17592186058008|1346025600000
13194139537576|1345334400000
15393162796638|1346803200000
15393162801883|1347926400000
32985348849764|1346630400000
21990232562332|1346457600000
24189255836942|1345507200000
17592186062860|1345420800000
10995116280828|1345161600000
4398046513254|1348012800000
24189255827419|1347321600000
17592186058106|1346889600000
26388279075797|1347062400000
15393162797091|1345852800000
32985348836120|1347753600000
28587302338726|1347321600000
15393162793684|1345939200000
30786325590260|1345075200000
28587302332930|1347753600000
13194139535896|1345680000000
4398046527453|1347321600000
21990232576042|1347235200000
6597069770100|1347667200000
17592186070593|1346803200000
30786325590365|1345593600000
13194139556499|1345852800000
1160|1349049600000
15393162810137|1347494400000
15393162795080|1344470400000
21990232561432|1346457600000
28587302344309|1344211200000
3779|1348358400000
4398046512733|1345248000000
26388279075089|1347840000000
30786325587134|1345852800000
19791209320038|1345075200000
32985348840537|1344902400000
24189255819887|1344902400000
2199023273674|1346889600000
17619|1346630400000
13194139553338|1344902400000
6597069779073|1344470400000
8796093046634|1347235200000
30786325580467|1347494400000
17592186049274|1346889600000
26388279082593|1344470400000
24189255836478|1345161600000
13194139554398|1347062400000
32985348846571|1345420800000
26388279091992|1346457600000
6597069780112|1348185600000
19791209314797|1345161600000
2199023263769|1347667200000
4398046522216|1346803200000
2199023259690|1345593600000
30786325586706|1348185600000
6597069770949|1346976000000
2199023269371|1345334400000
24189255823246|1346457600000
28587302325949|1344643200000
13194139539046|1348358400000
26388279082693|1344988800000
21990232569259|1346457600000
4398046516443|1346457600000
12665|1345680000000
28587302345344|1344211200000
21787|1346457600000
28587302332037|1346544000000
10995116296622|1344816000000
16328|1345420800000
15393162800697|1347840000000
2199023260548|1346803200000
32985348857815|1346025600000
10995116283613|1345939200000
19791209316412|1344988800000
21990232565814|1345248000000
4398046518073|1344470400000
17592186062067|1346544000000
4398046514218|1345334400000
21990232574469|1344816000000
2199023266357|1347753600000
21990232577216|1347321600000
15393162789699|1347235200000
21990232568688|1346889600000
26388279078780|1345248000000
10995116293146|1344988800000
28587302324330|1345248000000
26388279070049|1345248000000
21990232567789|1343865600000
28587302332603|1347753600000
21990232569939|1345161600000
13194139558150|1344556800000
17592186059251|1343952000000
20593|1345939200000
13194139535014|1345075200000
17592186048450|1344297600000
6597069779097|1345161600000
26388279067442|1346457600000
21990232564481|1347408000000
8796093040649|1345420800000
10995116280604|1346630400000
30786325581911|1346457600000
32985348846513|1343865600000
4398046535246|1346457600000
6597069768429|1343779200000
21990232579758|1347753600000
17592186058730|1346803200000
19791209321281|1344038400000
32985348853974|1345852800000
24189255821919|1344211200000
13194139536902|1347494400000
13818|1346803200000
24189255819642|1348099200000
10995116283662|1346544000000
10995116278796|1346976000000
4398046533347|1343779200000
28587302334559|1347840000000
10995116296066|1347753600000
8796093042445|1346544000000
2199023276756|1347148800000
19791209306356|1345766400000
4398046516569|1347408000000
15393162806473|1344470400000
8796093040527|1346976000000
6597069787895|1345939200000
6597069779026|1347408000000
10995116291185|1344384000000
28587302333854|1347926400000
26388279069650|1347667200000
26388279074355|1346630400000
10995116297442|1345161600000
4398046535916|1344816000000
17102|1344297600000
4398046536701|1347148800000
6597069766821|1345507200000
2199023273265|1347062400000
17592186059554|1345248000000
19791209320720|1343952000000
10995116285880|1346457600000
4398046537856|1344470400000
30786325595571|1344124800000
32985348859201|1344211200000
4398046528864|1348358400000
4398046525098|1347062400000
26388279082038|1343779200000
17592186050980|1347580800000
28587302346210|1344556800000
30786325602570|1347926400000
8796093048345|1346716800000
6597069769535|1346889600000
10995116280597|1345593600000
32985348850330|1343779200000
21990232562238|1343779200000
26388279072217|1346457600000
6597069789032|1345680000000
26388279089727|1346457600000
2199023262716|1344470400000
4398046533991|1344816000000
17592186055503|1347321600000
6597069789973|1346976000000
4398046528969|1344816000000
2199023279096|1343779200000
28587302348158|1347753600000
32985348856917|1347580800000
26388279070267|1344470400000
26388279073552|1344643200000
