personId|maxDate
10995116288038|1326153600000
21990232557970|1342569600000
30786325586916|1326153600000
17592186049871|1329177600000
6597069770782|1312243200000
10995116293836|1322956800000
17592186047899|1312761600000
6597069771849|1329436800000
21990232577514|1354060800000
24189255836057|1344211200000
4398046521376|1309910400000
19791209308865|1332374400000
28587302330379|1336953600000
10995116302815|1299628800000
19791209308983|1333584000000
21990232582274|1354060800000
26388279068235|1332460800000
21990232562449|1324339200000
13194139543496|1334188800000
26388279089102|1324771200000
15393162814794|1329955200000
19791209300572|1354060800000
19791209318792|1321056000000
2199023276720|1324425600000
2199023280351|1344643200000
6597069793603|1331510400000
4398046513283|1345507200000
10995116281195|1336435200000
21990232574703|1316736000000
6597069779911|1302652800000
6597069770517|1294704000000
8796093031741|1339891200000
6597069767729|1307059200000
26388279072834|1332547200000
6597069790331|1354060800000
15393162815004|1343260800000
4398046512636|1314144000000
30786325595461|1354060800000
10995116298024|1313884800000
13194139558262|1323043200000
4398046535367|1314316800000
28587302346306|1337558400000
24189255811746|1328918400000
3558|1324512000000
6597069768560|1332892800000
15393162798830|1343865600000
19791209324307|1330905600000
30786325596473|1337040000000
6597069791811|1354060800000
13194139535014|1339027200000
6597069788682|1354060800000
30786325584236|1323129600000
2199023272256|1330732800000
4398046535362|1342656000000
28587302342697|1331164800000
6597069773842|1329264000000
28587302341369|1354060800000
6597069784281|1339372800000
10995116285640|1341100800000
32985348857454|1354060800000
3994|1354060800000
13194139555542|1354060800000
19791209315846|1335571200000
15393162805569|1343865600000
30786325597490|1323302400000
32985348833505|1354060800000
19791209320070|1335312000000
10995116292375|1316995200000
19791209310731|1336953600000
2199023264203|1354060800000
28587302338287|1347235200000
17592186057457|1349222400000
26388279081301|1344729600000
32985348846571|1325030400000
2199023266634|1334534400000
25763|1324512000000
30786325591965|1332892800000
17592186067958|1354060800000
28587302334840|1324080000000
15393162808296|1344470400000
17592186061343|1354060800000
8796093043338|1331078400000
17592186057969|1354060800000
10995116291176|1322265600000
32985348837338|1339718400000
13194139543588|1354060800000
15393162794654|1324598400000
32985348839443|1335398400000
10995116279437|1354060800000
24189255831239|1350691200000
17592186068588|1329609600000
21990232562116|1354060800000
30786325602275|1354060800000
32985348834796|1337385600000
30786325578441|1323129600000
15250|1354060800000
2199023273327|1354060800000
6597069788475|1345766400000
32985348849413|1354060800000
10995116278627|1324684800000
19791209311641|1341532800000
30786325602652|1324857600000
4398046538007|1341792000000
19791209310754|1341360000000
17592186063555|1324598400000
24189255834434|1354060800000
13194139536815|1329868800000
8796093042153|1354060800000
26388279067618|1323302400000
24189255827876|1354060800000
28587302347301|1323475200000
6597069768981|1354060800000
21990232570236|1331856000000
20056|1336953600000
8796093024572|1354060800000
32985348853974|1315785600000
19791209325795|1346112000000
6597069792657|1354060800000
24189255828032|1354060800000
15393162795534|1345075200000
6597069771931|1324080000000
13194139544341|1354060800000
21990232564360|1332288000000
21990232570716|1341878400000
4398046514676|1340236800000
6597069792594|1354060800000
26388279072017|1337644800000
2199023261211|1354060800000
28587302333619|1340064000000
4398046524666|1354060800000
8796093028263|1331164800000
4398046520919|1346112000000
8796093025804|1348790400000
30786325603087|1346457600000
2199023275474|1354060800000
30786325599794|1344816000000
17592186060215|1345161600000
21990232569259|1354060800000
15393162792633|1334793600000
16845|1354060800000
26388279081205|1342224000000
6597069786337|1354060800000
15393162790403|1354060800000
23887|1345680000000
4231|1333411200000
10995116304142|1324339200000
8796093043917|1321056000000
2199023282248|1354060800000
6597069783153|1354060800000
15393162801100|1343779200000
15393162797538|1354060800000
6597069779951|1351036800000
2199023255660|1354060800000
13194139540571|1335571200000
21990232574414|1342656000000
10995116279673|1347580800000
30786325593491|1341446400000
17592186070608|1354060800000
19791209323676|1349827200000
28587302322597|1354060800000
32985348844886|1342828800000
28587302330869|1332547200000
28587302347061|1354060800000
32985348834625|1349308800000
8796093033913|1350777600000
32985348852644|1350604800000
28587302327767|1354060800000
10995116283662|1347753600000
8796093040670|1354060800000
2199023261420|1354060800000
16328|1336953600000
13194139555715|1354060800000
21990232562519|1336089600000
13194139538958|1354060800000
35184372096782|1345852800000
19791209322349|1354060800000
28587302335050|1354060800000
17592186056456|1328400000000
4398046516316|1354060800000
4398046519365|1354060800000
26388279069095|1354060800000
6013|1354060800000
4296|1354060800000
4398046511322|1354060800000
