personId|startDate|durationDays
8796093026772|1291161600000|32
10995116283613|1301616000000|35
8796093033618|1306886400000|32
13194139554792|1301616000000|40
21990232577733|1314835200000|33
10995116298660|1296518400000|38
8796093037946|1296518400000|33
4398046516569|1277942400000|30
30786325596473|1346457600000|31
6597069791811|1351728000000|41
21990232569319|1325376000000|28
13194139533589|1317427200000|36
32985348855812|1304208000000|35
21076|1296518400000|40
32985348860266|1317427200000|38
15393162800020|1328054400000|36
26388279085994|1346457600000|38
15393162812669|1304208000000|41
24189255811573|1346457600000|29
24189255828888|1325376000000|28
1921|1301616000000|41
4398046528305|1309478400000|29
4398046536251|1325376000000|29
6597069773790|1293840000000|28
28587302337170|1320105600000|32
19791209322433|1283299200000|39
21990232580542|1317427200000|42
4767|1301616000000|35
16996|1346457600000|39
6096|1325376000000|36
13194139554422|1325376000000|33
10995116280255|1312156800000|36
30786325582906|1325376000000|39
13194139535014|1306886400000|30
6597069788682|1304208000000|29
15393162791897|1296518400000|34
15393162801635|1346457600000|28
17592186046182|1304208000000|34
19074|1298937600000|32
15393162815741|1301616000000|28
28587302345768|1306886400000|29
15393162800524|1309478400000|29
4398046523717|1346457600000|32
17592186047175|1312156800000|30
17592186049995|1298937600000|45
8796093031909|1320105600000|33
28587302325589|1288569600000|29
13194139540395|1285891200000|31
6597069780854|1312156800000|34
10995116291769|1301616000000|31
26388279072439|1306886400000|31
2199023262943|1325376000000|30
28587302327745|1301616000000|32
26388279092283|1312156800000|29
13194139559862|1346457600000|28
19791209316881|1280620800000|32
13194139560020|1301616000000|32
26388279079449|1346457600000|29
30786325584236|1298937600000|34
19791209315938|1320105600000|29
10995116300579|1298937600000|30
30786325601760|1301616000000|31
2199023272256|1328054400000|38
30786325592581|1293840000000|35
21990232579388|1301616000000|29
6597069788756|1306886400000|29
21990232556837|1277942400000|29
15393162809259|1298937600000|43
15393162792659|1304208000000|29
15393162806312|1291161600000|28
17592186070266|1291161600000|37
4398046535362|1328054400000|29
3500|1304208000000|29
30786325597008|1312156800000|31
8796093028644|1296518400000|36
21990232574393|1325376000000|32
13194139545310|1325376000000|34
19791209319819|1306886400000|31
30786325600732|1312156800000|33
15393162793612|1306886400000|30
30786325598409|1301616000000|30
6107|1296518400000|29
21990232582182|1304208000000|32
21990232576999|1301616000000|28
8420|1301616000000|36
15393162807270|1304208000000|31
17592186069661|1283299200000|34
30786325598385|1280620800000|28
2199023282224|1298937600000|37
26388279075918|1317427200000|42
8796093023296|1317427200000|43
21990232568143|1293840000000|28
26388279089985|1301616000000|37
28587302342697|1298937600000|32
28587302343444|1280620800000|29
13194139539473|1296518400000|35
17592186060612|1335830400000|30
2199023281824|1304208000000|38
19791209321373|1293840000000|28
10995116278350|1304208000000|28
4398046528460|1291161600000|28
15393162798732|1298937600000|33
21990232567602|1275350400000|28
10995116291016|1296518400000|31
17345|1312156800000|41
21990232555803|1306886400000|37
17592186067146|1325376000000|30
3760|1325376000000|33
21893|1328054400000|42
26388279073359|1283299200000|35
4398046535504|1291161600000|32
21990232558783|1285891200000|30
21990232579305|1301616000000|31
28587302332884|1298937600000|28
13194139546012|1346457600000|29
10995116300810|1280620800000|30
30786325600623|1306886400000|28
17592186045360|1346457600000|38
4398046516880|1301616000000|28
17592186071134|1304208000000|32
2199023260548|1291161600000|32
2199023280230|1320105600000|35
17592186057571|1325376000000|28
8796093038694|1301616000000|36
30786325594922|1309478400000|31
8796093028361|1335830400000|31
28587302329064|1301616000000|29
6597069766719|1291161600000|30
26388279073126|1306886400000|42
4398046535468|1328054400000|29
13194139546469|1296518400000|28
10995116284007|1296518400000|29
2199023278605|1346457600000|33
17592186054968|1335830400000|31
8796093022909|1306886400000|41
30786325599144|1298937600000|32
6597069768531|1306886400000|30
26388279071572|1333238400000|58
10995116298010|1296518400000|37
13194139550160|1346457600000|40
10995116302156|1301616000000|29
4398046532477|1349049600000|36
28587302324992|1291161600000|28
26388279074127|1335830400000|28
24189255836604|1325376000000|30
15393162815278|1296518400000|28
8796093039372|1301616000000|39
21990232574501|1280620800000|30
4398046529194|1328054400000|31
28587302323373|1298937600000|32
17592186061009|1320105600000|39
32985348840970|1320105600000|28
13194139548910|1325376000000|50
6597069777438|1304208000000|28
30786325599523|1325376000000|44
13818|1320105600000|30
30786325580603|1288569600000|34
15393162800378|1304208000000|31
26388279080163|1309478400000|34
26388279086373|1301616000000|34
26388279080913|1293840000000|29
32985348857749|1296518400000|29
15393162802835|1283299200000|36
28587302348249|1301616000000|31
17592186060516|1304208000000|35
28587302345674|1301616000000|29
15393162803428|1333238400000|36
13194139534340|1346457600000|33
15393162798372|1306886400000|32
24189255826925|1285891200000|31
13194139542623|1346457600000|29
17592186064656|1293840000000|32
6597069787003|1346457600000|31
32985348835502|1314835200000|46
10995116285880|1312156800000|47
32985348838086|1333238400000|39
17592186059195|1320105600000|28
6597069773842|1301616000000|31
17592186049318|1320105600000|30
4398046511338|1314835200000|43
28587302341369|1293840000000|30
10995116292918|1283299200000|28
13194139551122|1291161600000|32
24189255818971|1306886400000|31
6597069784281|1325376000000|31
30786325603543|1280620800000|37
19791209308413|1306886400000|29
32985348848412|1306886400000|41
28587302328880|1312156800000|31
21990232568602|1298937600000|28
32985348839976|1296518400000|34
26388279087663|1301616000000|36
21990232573286|1304208000000|37
21990232575675|1304208000000|33
2199023263378|1304208000000|37
4398046530872|1301616000000|31
10995116285640|1306886400000|38
6597069789753|1298937600000|35
19791209320623|1306886400000|31
13194139533725|1333238400000|29
21990232560651|1283299200000|28
30786325599656|1328054400000|31
30786325585360|1288569600000|34
21990232560154|1328054400000|34
24189255818159|1325376000000|28
26388279090400|1351728000000|45
26388279069158|1320105600000|39
24189255833085|1306886400000|33
32985348844875|1293840000000|33
26388279066717|1296518400000|43
24189255837591|1333238400000|34
24189255819548|1306886400000|35
6597069779070|1298937600000|32
32985348851213|1328054400000|34
10995116285926|1293840000000|30
19138|1275350400000|38
10995116279273|1296518400000|33
10995116302348|1320105600000|36
2199023259523|1291161600000|33
19791209315257|1304208000000|33
6597069780112|1285891200000|38
6597069773314|1301616000000|34
32985348857454|1325376000000|32
28587302343418|1306886400000|37
10995116296948|1335830400000|39
32985348852912|1312156800000|82
2199023256236|1351728000000|34
8796093029412|1285891200000|30
32985348853632|1306886400000|35
4398046516958|1328054400000|30
13136|1291161600000|38
24189255836165|1301616000000|29
6597069770838|1320105600000|36
26388279090865|1296518400000|36
2199023266489|1285891200000|45
15393162796355|1298937600000|35
4398046526882|1298937600000|28
4398046519960|1312156800000|37
15393162793684|1312156800000|30
30786325603301|1304208000000|31
24189255829238|1314835200000|34
30786325597918|1304208000000|30
30786325598002|1304208000000|32
