personId|startDate|durationDays
10995116278874|1338508800000|28
6597069766964|1343779200000|71
19791209300151|1349049600000|76
26388279068083|1343779200000|28
32985348833434|1343779200000|28
6597069766938|1343779200000|28
26388279066948|1343779200000|28
17592186045028|1343779200000|28
6597069767301|1343779200000|28
24189255811906|1343779200000|28
10995116278652|1343779200000|28
4398046512720|1343779200000|28
30786325579063|1328054400000|47
26388279068069|1293840000000|63
10995116278700|1317427200000|55
