personId|startDate|durationDays|countryXName|countryYName
8796093022946|1291161600000|30|Rwanda|Panama
8796093023094|1291161600000|30|New_Zealand|Switzerland
10995116278652|1291161600000|30|Panama|Bosnia_and_Herzegovina
2199023256566|1291161600000|30|Mongolia|Panama
10995116280678|1291161600000|30|Chad|Panama
8796093022821|1301616000000|28|El_Salvador|Rwanda
19791209300775|1301616000000|28|Bosnia_and_Herzegovina|Rwanda
13194139534161|1301616000000|28|Norway|Bosnia_and_Herzegovina
26388279067923|1304208000000|79|Switzerland|Mongolia
21990232556988|1301616000000|28|Puerto_Rico|El_Salvador
13194139534816|1301616000000|28|Latvia|Rwanda
15393162790395|1301616000000|28|Rwanda|Panama
6597069768567|1301616000000|28|Rwanda|El_Salvador
4398046513140|1301616000000|28|Norway|El_Salvador
17592186046671|1301616000000|28|Latvia|El_Salvador
26388279069006|1301616000000|28|Bosnia_and_Herzegovina|Puerto_Rico
26388279070041|1301616000000|28|Chad|El_Salvador
6597069770245|1325376000000|55|New_Zealand|Bosnia_and_Herzegovina
19791209303645|1298937600000|41|El_Salvador|Rwanda
32985348833558|1325376000000|30|Latvia|Chad
17592186045133|1298937600000|102|Switzerland|Rwanda
6597069768080|1304208000000|31|El_Salvador|Norway
4398046511442|1298937600000|28|Puerto_Rico|Latvia
4398046511757|1301616000000|49|Panama|Bosnia_and_Herzegovina
19791209301139|1298937600000|28|El_Salvador|Mongolia
2199023257277|1304208000000|37|Latvia|Rwanda
28587302324063|1298937600000|28|Bosnia_and_Herzegovina|New_Zealand
2186|1312156800000|51|El_Salvador|Norway
10995116280003|1298937600000|28|Panama|El_Salvador
4398046513789|1298937600000|28|Bosnia_and_Herzegovina|Panama
21990232558274|1298937600000|28|Latvia|Rwanda
32985348836085|1298937600000|28|Rwanda|El_Salvador
24189255814002|1298937600000|28|Switzerland|Latvia
24189255814145|1298937600000|28|Puerto_Rico|El_Salvador
10995116281483|1298937600000|28|Puerto_Rico|El_Salvador
