person1Id|person2Id
8796093022946|4398046513789
8796093023094|32985348833558
10995116278652|4398046511442
2199023256566|19791209300775
10995116280678|10995116281483
8796093022821|21990232558274
19791209300775|10995116280678
13194139534161|15393162790395
26388279067923|2199023257277
21990232556988|19791209301139
13194139534816|24189255814002
15393162790395|17592186046671
6597069768567|4398046513789
4398046513140|4398046511757
17592186046671|13194139534816
26388279069006|17592186045133
26388279070041|21990232558274
6597069770245|4398046513789
19791209303645|6597069770245
32985348833558|17592186045133
17592186045133|8796093023094
6597069768080|26388279067923
4398046511442|2186
4398046511757|17592186046671
19791209301139|19791209300775
2199023257277|32985348833558
28587302324063|19791209301139
2186|4398046511757
10995116280003|4398046513140
4398046513789|26388279069006
21990232558274|6597069770245
32985348836085|2186
24189255814002|19791209303645
24189255814145|4398046513140
10995116281483|6597069770245
