personId|month
24189255813168|3
2199023259220|11
28587302323642|3
2199023258328|10
10995116279823|8
3175|11
2199023259063|5
32985348834334|5
15393162792710|4
13194139534724|11
4398046513353|8
21990232556433|12
28587302322565|11
1129|2
30786325578215|7
15393162791080|2
8796093025200|1
24189255814371|1
2199023256742|11
13194139535032|10
2199023256321|10
13194139534229|5
6597069767375|8
17592186046530|10
26388279069094|5
8796093022749|7
2199023258073|3
2199023256008|1
6597069768564|4
2199023258723|11
30786325579380|7
30786325579745|12
17592186045005|6
26388279069224|4
6597069766719|10
