personId|startDate|durationDays
32985348834375|1301616000000|48
2199023259200|1312156800000|48
4398046514593|1298937600000|43
19791209303491|1304208000000|42
4398046513018|1301616000000|39
26388279070362|1301616000000|38
30786325579845|1304208000000|38
2194|1291161600000|41
2199023256816|1291161600000|39
6597069767242|1298937600000|39
13194139535025|1304208000000|35
19791209302403|1312156800000|38
10995116280854|1304208000000|34
2783|1325376000000|30
8796093025074|1291161600000|31
30786325578585|1325376000000|29
24189255811663|1304208000000|29
32985348833579|1304208000000|29
17592186046293|1301616000000|33
28587302322537|1298937600000|29
26388279067534|1304208000000|36
24189255811566|1298937600000|33
30786325581208|1312156800000|33
24189255814889|1312156800000|30
8796093023907|1312156800000|31
21990232558990|1298937600000|35
15393162790796|1304208000000|39
4398046512826|1298937600000|39
28587302326035|1325376000000|52
13194139535632|1325376000000|48
26388279068863|1325376000000|38
8796093025406|1335830400000|38
10995116280436|1304208000000|40
32985348833438|1296518400000|41
15393162789093|1304208000000|54
