personId|minDate
8796093022946|1345593600000
8796093023094|1345593600000
10995116278652|1345593600000
2199023256566|1345593600000
10995116280678|1345593600000
8796093022821|1344211200000
19791209300775|1344211200000
13194139534161|1344211200000
26388279067923|1350259200000
21990232556988|1344211200000
13194139534816|1344211200000
15393162790395|1344211200000
6597069768567|1344211200000
4398046513140|1344211200000
17592186046671|1344211200000
26388279069006|1344211200000
26388279070041|1344211200000
6597069770245|1349222400000
19791209303645|1347580800000
32985348833558|1346803200000
17592186045133|1350518400000
6597069768080|1347148800000
4398046511442|1346457600000
4398046511757|1349308800000
19791209301139|1346457600000
2199023257277|1347580800000
28587302324063|1346457600000
2186|1349481600000
10995116280003|1346457600000
4398046513789|1346457600000
21990232558274|1346457600000
32985348836085|1346457600000
24189255814002|1346457600000
24189255814145|1346457600000
10995116281483|1346457600000
