person1Id|person2Id
17592186055119|10995116282665
8796093030404|13194139542764
2199023266354|6597069767470
21990232560302|4398046517042
6597069774475|10995116282665
6597069767470|17592186047698
32985348839760|30786325578737
28587302331227|17592186052400
6597069775210|2199023258040
6597069777205|30786325587163
28587302322515|4398046517049
6597069768320|10995116285640
21990232558067|17592186052168
8796093025131|17592186051070
19791209307492|2199023266354
21990232560628|24189255821418
32985348837736|32985348840452
32985348840452|4398046515300
32985348834961|4398046512568
17592186047698|28587302323855
2199023261819|28587302323855
15393162792270|768
24189255821418|30786325578316
15393162791355|13194139543486
24189255819548|13194139542253
30786325578316|6597069775210
6597069776966|8796093030404
2199023260581|8796093030404
28587302325306|30786325578370
21990232560233|24189255819548
4398046516880|28587302322515
30786325586428|10995116285640
28587302324102|30786325587163
30786325587163|32985348839760
2199023258040|21990232560628
8796093032964|30786325584591
32985348834523|32985348837736
4398046514525|6597069776966
28587302328025|17592186051356
10995116278636|17592186051070
21990232566347|30786325586428
13194139542764|6597069768934
4398046520770|2199023266354
24189255811500|4398046514525
17592186051070|13194139542764
6597069777346|32985348834961
6597069768934|28587302322515
17592186052400|17592186049742
8796093031741|30786325578737
30786325578737|2199023261819
21990232557143|32985348842142
30786325584591|768
4398046517049|2199023266354
24189255818799|8796093030404
13194139542115|19791209307492
10995116282665|32985348835335
28587302330379|21990232560628
4398046515300|17592186051356
30786325586109|21990232563680
32985348842142|24189255818799
17592186052168|15393162792270
10995116285640|28587302325201
6597069777438|28587302323855
6597069777539|21990232557143
6597069768429|15393162792270
13194139542253|6597069777539
21990232563680|28587302328025
30786325578795|28587302330379
26388279072405|30786325586428
17592186051356|10995116285640
32985348835335|6597069767470
24189255819887|21990232560233
4398046521107|32985348842449
4398046511779|4398046517042
30786325578370|4398046516880
19791209308155|4398046512568
21990232562366|4398046516880
28587302322565|2199023257371
28587302323855|4398046521107
30786325580833|21990232566347
768|24189255819548
4398046518685|17592186055119
13194139543486|32985348835137
26388279074461|21990232560302
4398046512568|768
4398046517042|32985348842449
32985348835137|10995116282665
21990232558484|32985348837736
17592186049742|4398046517042
32985348840202|28587302325201
17592186049357|26388279072405
2199023257753|30786325578737
2199023257371|4398046514525
8796093024620|30786325587163
32985348842449|2199023261819
28587302325201|21990232563680
28587302329937|4398046520770
32985348844221|17592186047698
